source,target,weight,typetrans,fraud
C1093826151,M348934600,4.55,es_transportation,0
C352968107,M348934600,39.68,es_transportation,0
C2054744914,M1823072687,26.89,es_transportation,0
C1760612790,M348934600,17.25,es_transportation,0
C757503768,M348934600,35.72,es_transportation,0
C1315400589,M348934600,25.81,es_transportation,0
C765155274,M348934600,9.1,es_transportation,0
C202531238,M348934600,21.17,es_transportation,0
C105845174,M348934600,32.4,es_transportation,0
C39858251,M348934600,35.4,es_transportation,0
C98707741,M348934600,14.95,es_transportation,0
C1551465414,M1823072687,1.51,es_transportation,0
C623601481,M50039827,68.79,es_health,0
C1865204568,M1823072687,20.32,es_transportation,0
C490238464,M348934600,13.56,es_transportation,0
C194016923,M348934600,30.19,es_transportation,0
C1207205377,M1823072687,17.54,es_transportation,0
C834963773,M348934600,40.69,es_transportation,0
C1897705669,M348934600,21.21,es_transportation,0
C124539163,M348934600,10.09,es_transportation,0
C1687101094,M348934600,19.31,es_transportation,0
C1695454092,M348934600,44.22,es_transportation,0
C986553990,M348934600,44.39,es_transportation,0
C819690995,M348934600,30.72,es_transportation,0
C1622124632,M348934600,29.84,es_transportation,0
C187514477,M348934600,12.1,es_transportation,0
C272748313,M348934600,24.84,es_transportation,0
C490092965,M348934600,16.42,es_transportation,0
C546957379,M348934600,2.19,es_transportation,0
C1563705147,M348934600,32.27,es_transportation,0
C1273110804,M348934600,28.09,es_transportation,0
C1582366224,M1823072687,16.13,es_transportation,0
C998987490,M348934600,32.7,es_transportation,0
C1413412440,M348934600,25.53,es_transportation,0
C1166355595,M348934600,39.22,es_transportation,0
C719598710,M348934600,46.14,es_transportation,0
C1161949399,M348934600,29.55,es_transportation,0
C60351691,M1823072687,36.88,es_transportation,0
C1769927077,M348934600,36.15,es_transportation,0
C995844287,M348934600,2.81,es_transportation,0
C1425441042,M1888755466,87.67,es_otherservices,0
C337109624,M1823072687,11.17,es_transportation,0
C1635613216,M1053599405,105.59,es_health,0
C996804095,M348934600,15.25,es_transportation,0
C1331907286,M348934600,33.36,es_transportation,0
C506520283,M348934600,32.96,es_transportation,0
C83613815,M348934600,16.96,es_transportation,0
C1697528836,M1823072687,49.91,es_transportation,0
C168310052,M348934600,0.93,es_transportation,0
C2096367617,M348934600,37.71,es_transportation,0
C1870872671,M1823072687,12.53,es_transportation,0
C823286801,M348934600,56.97,es_transportation,0
C1038996959,M348934600,31.32,es_transportation,0
C345742557,M348934600,21.15,es_transportation,0
C638163213,M348934600,3.12,es_transportation,0
C1941625566,M348934600,33.41,es_transportation,0
C1180570487,M1823072687,45.92,es_transportation,0
C51444479,M348934600,36.82,es_transportation,0
C153419170,M1823072687,20.05,es_transportation,0
C574062699,M348934600,43.75,es_transportation,0
C1087788850,M348934600,44.88,es_transportation,0
C2126436338,M348934600,18.45,es_transportation,0
C1820855004,M348934600,29.66,es_transportation,0
C487569403,M348934600,28.38,es_transportation,0
C923875417,M348934600,62.76,es_transportation,0
C579037870,M348934600,21.6,es_transportation,0
C662931726,M348934600,30.74,es_transportation,0
C671524709,M348934600,58.33,es_transportation,0
C476477241,M348934600,44.07,es_transportation,0
C327430270,M348934600,6.52,es_transportation,0
C1879341237,M1823072687,2.96,es_transportation,0
C1655037147,M348934600,44.69,es_transportation,0
C864655240,M1823072687,5.01,es_transportation,0
C72353846,M348934600,9.74,es_transportation,0
C1591908890,M348934600,10.1,es_transportation,0
C1156346576,M348934600,58.64,es_transportation,0
C1771717627,M348934600,29.2,es_transportation,0
C156162339,M85975013,32.6,es_food,0
C588719767,M348934600,52.35,es_transportation,0
C118437987,M1053599405,159.92,es_health,0
C1130259702,M348934600,26.37,es_transportation,0
